category,file,line,agent,start,duration_ms,status
ci_status_calls,Gemini-Builder-2026-09-10T00-43-25-035Z.jsonl,2834,Gemini-Builder,1789007036504,689,completed
ci_status_calls,Gemini-Builder-2026-09-10T00-43-25-035Z.jsonl,2836,Gemini-Builder,1789007039130,1122,completed
ci_status_calls,Gemini-Builder-2026-09-10T00-43-25-035Z.jsonl,2838,Gemini-Builder,1789007042557,1218,completed
ci_status_calls,Gemini-Builder-2026-09-10T00-43-25-035Z.jsonl,2843,Gemini-Builder,1789007059088,739,completed
ci_status_calls,Gemini-Builder-2026-09-10T00-43-25-035Z.jsonl,2845,Gemini-Builder,1789007061757,1270,completed
ci_status_calls,Gemini-Builder-2026-09-10T00-43-25-035Z.jsonl,2851,Gemini-Builder,1789007080434,816,completed
ci_status_calls,Gemini-Builder-2026-09-10T00-43-25-035Z.jsonl,2854,Gemini-Builder,1789007084538,1367,completed
ci_status_calls,Gemini-Builder-2026-09-10T00-43-25-035Z.jsonl,2859,Gemini-Builder,1789007104270,915,completed
ci_status_calls,Gemini-Builder-2026-09-10T00-43-25-035Z.jsonl,2862,Gemini-Builder,1789007108103,1331,completed
ci_status_calls,Gemini-Builder-2026-09-10T00-43-25-035Z.jsonl,2868,Gemini-Builder,1789007125658,733,completed
ci_status_calls,Gemini-Builder-2026-09-10T00-43-25-035Z.jsonl,2870,Gemini-Builder,1789007128480,1149,completed
ci_status_calls,Gemini-Builder-2026-09-10T00-43-25-035Z.jsonl,2872,Gemini-Builder,1789007132392,1051,completed
ci_status_calls,Gemini-Builder-2026-09-10T00-43-25-035Z.jsonl,2878,Gemini-Builder,1789007149321,716,completed
ci_status_calls,Gemini-Builder-2026-09-10T00-43-25-035Z.jsonl,2880,Gemini-Builder,1789007152593,1158,completed
ci_status_calls,Gemini-Builder-2026-09-10T00-43-25-035Z.jsonl,2885,Gemini-Builder,1789007171048,672,completed
ci_status_calls,Gemini-Builder-2026-09-10T00-43-25-035Z.jsonl,2888,Gemini-Builder,1789007173601,1159,completed
ci_status_calls,Gemini-Builder-2026-09-10T00-43-25-035Z.jsonl,2893,Gemini-Builder,1789007190924,700,completed
ci_status_calls,Gemini-Builder-2026-09-10T00-43-25-035Z.jsonl,2895,Gemini-Builder,1789007193437,1207,completed
ci_status_calls,Gemini-Builder-2026-09-10T00-43-25-035Z.jsonl,2901,Gemini-Builder,1789007210311,656,completed
ci_status_calls,Gemini-Builder-2026-09-10T00-43-25-035Z.jsonl,2903,Gemini-Builder,1789007212744,1070,completed
ci_status_calls,Gemini-Builder-2026-09-10T00-43-25-035Z.jsonl,2905,Gemini-Builder,1789007216086,1175,completed
ci_status_calls,Gemini-Builder-2026-09-10T00-43-25-035Z.jsonl,2911,Gemini-Builder,1789007236188,783,completed
ci_status_calls,Gemini-Builder-2026-09-10T00-43-25-035Z.jsonl,2914,Gemini-Builder,1789007239039,1187,completed
ci_status_calls,Gemini-Builder-2026-09-10T00-43-25-035Z.jsonl,2919,Gemini-Builder,1789007256251,735,completed
ci_status_calls,Gemini-Builder-2026-09-10T00-43-25-035Z.jsonl,2922,Gemini-Builder,1789007259675,1304,completed
ci_status_calls,Gemini-Builder-2026-09-10T00-43-25-035Z.jsonl,2927,Gemini-Builder,1789007277072,922,completed
ci_status_calls,Gemini-Builder-2026-09-10T00-43-25-035Z.jsonl,2929,Gemini-Builder,1789007281055,1216,completed
ci_status_calls,Gemini-Builder-2026-09-10T00-43-25-035Z.jsonl,2935,Gemini-Builder,1789007299488,725,completed
ci_status_calls,Gemini-Builder-2026-09-10T00-43-25-035Z.jsonl,2938,Gemini-Builder,1789007302412,1148,completed
ci_status_calls,Gemini-Builder-2026-09-10T00-43-25-035Z.jsonl,2943,Gemini-Builder,1789007319763,674,completed
ci_status_calls,Gemini-Builder-2026-09-10T00-43-25-035Z.jsonl,2945,Gemini-Builder,1789007322712,1162,completed
ci_status_calls,Gemini-Builder-2026-09-10T00-43-25-035Z.jsonl,2951,Gemini-Builder,1789007339441,801,completed
ci_status_calls,Gemini-Builder-2026-09-10T00-43-25-035Z.jsonl,2953,Gemini-Builder,1789007342296,1134,completed
ci_status_calls,Gemini-Builder-2026-09-10T00-43-25-035Z.jsonl,2956,Gemini-Builder,1789007345604,1188,completed
ci_status_calls,Gemini-Builder-2026-09-10T00-43-25-035Z.jsonl,2961,Gemini-Builder,1789007363644,1017,completed
ci_status_calls,Gemini-Builder-2026-09-10T00-43-25-035Z.jsonl,2964,Gemini-Builder,1789007366726,1124,completed
ci_status_calls,Gemini-Builder-2026-09-10T00-43-25-035Z.jsonl,2969,Gemini-Builder,1789007385319,695,completed
ci_status_calls,Gemini-Builder-2026-09-10T00-43-25-035Z.jsonl,2972,Gemini-Builder,1789007388028,1204,completed
ci_status_calls,Gemini-Builder-2026-09-10T00-43-25-035Z.jsonl,2979,Gemini-Builder,1789007407140,858,completed
ci_status_calls,Luna-Builder-2026-09-08T05-03-34-019Z.jsonl,1325,Luna-Builder,1788844688163,619,failed
ci_status_calls,Luna-Builder-2026-09-08T05-03-34-019Z.jsonl,1397,Luna-Builder,1788844695529,822353,completed
ci_status_calls,Luna-Builder-2026-09-08T05-03-34-019Z.jsonl,1467,Luna-Builder,1788844829158,741,completed
ci_status_calls,Luna-Builder-2026-09-08T05-03-34-019Z.jsonl,1482,Luna-Builder,1788844903055,979,completed
ci_status_calls,Luna-Builder-2026-09-08T05-03-34-019Z.jsonl,1706,Luna-Builder,1788845339490,759,completed
ci_status_calls,Luna-Builder-2026-09-08T05-03-34-019Z.jsonl,1724,Luna-Builder,1788845413985,940,completed
ci_status_calls,Luna-Builder-2026-09-08T05-03-34-019Z.jsonl,1778,Luna-Builder,1788845520063,769,completed
ci_status_calls,Luna-Builder-2026-09-08T05-03-34-019Z.jsonl,1784,Luna-Builder,1788845525592,736,completed
ci_status_calls,Luna-Builder-2026-09-08T05-03-34-019Z.jsonl,2283,Luna-Builder,1788846251380,609,failed
ci_status_calls,Luna-Builder-2026-09-08T05-03-34-019Z.jsonl,2287,Luna-Builder,1788846255725,821755,completed
ci_status_calls,Luna-Builder-2026-09-08T05-03-34-019Z.jsonl,2304,Luna-Builder,1788846322823,753,completed
ci_status_calls,Luna-Builder-2026-09-08T05-03-34-019Z.jsonl,2364,Luna-Builder,1788846460275,626,completed
ci_status_calls,Luna-Builder-2026-09-08T05-03-34-019Z.jsonl,3285,Luna-Builder,1788847605873,518,failed
ci_status_calls,Luna-Builder-2026-09-08T05-03-34-019Z.jsonl,3333,Luna-Builder,1788847612049,852637,completed
ci_status_calls,Luna-Builder-2026-09-08T05-03-34-019Z.jsonl,3346,Luna-Builder,1788847711035,858,completed
ci_status_calls,Luna-Builder-2026-09-08T05-03-34-019Z.jsonl,3473,Luna-Builder,1788847998225,620,failed
ci_status_calls,Luna-Builder-2026-09-08T05-03-34-019Z.jsonl,3533,Luna-Builder,1788848006442,457274,completed
ci_status_calls,Luna-Builder-2026-09-08T05-03-34-019Z.jsonl,3544,Luna-Builder,1788848039327,563,failed
ci_status_calls,Luna-Builder-2026-09-08T05-03-34-019Z.jsonl,3742,Luna-Builder,1788848057540,496,failed
ci_status_calls,Luna-Builder-2026-09-08T05-03-34-019Z.jsonl,3884,Luna-Builder,1788848070432,395790,completed
ci_status_calls,Luna-Builder-2026-09-08T05-03-34-019Z.jsonl,3894,Luna-Builder,1788848105244,529,failed
